Text,Speaker,Episode,Season,Show
" (RE TV) Ooh, she should not be wearing those pants.",CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
(THE DOOR BUZZER SOUNDS. CHANDLER GETS IT),,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Please don't do that again, it's a horrible sound.",CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Yes!,MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Ooh, this is a Dear Diary moment.",CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Hi, come in! Paul, this is.. (THEY ARE ALL LINED UP NEXT TO THE DOOR)... everybody, everybody, this is Paul.",MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Hey! Paul! Hi! The Wine Guy! Hey!,ALL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Hey! Paul! Hi! The Wine Guy! Hey!,ALL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" I'm sorry, I didn't catch your name. Paul, was it?",CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Right, you're not even getting your honeymoon, God.. No, no, although, Aruba, this time of year... talk about your- (THINKS) -big lizards... Anyway, if you don't feel like being alone tonight, Joey and Chandler are coming over to help me put together my new furniture.",ROSS,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" (DEADPAN) Yes, and we're very excited about it. ",CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 What's this?,JOEY,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 I have no idea.,CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Done with the bookcase!,JOEY,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 All finished!,CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 You guys.,ROSS,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Oh, man.",CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 I honestly don't know if I'm hungry or horny.,ROSS,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Stay out of my freezer!,CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Isn't this amazing? I mean, I have never made coffee before in my entire life.",RACHEL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 That is amazing.,CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
(ENTER MONICA FROM HER ROOM),,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Morning. Good morning.,ALL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Hello, Paul.",RACHEL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Hi, Paul, is it?",CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Shut up, and put my table back.",MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Okayyy! (THEY DO),ALL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Okayyy! (THEY DO),ALL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference... ",CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Oh wait, wait, unless you happened to catch the Reruns' production of Pinocchio.",MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" 'Look, Gippetto, I'm a real live boy.'",CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 I will not take this abuse. (WALKS TO DOOR AND OPENS IT TO LEAVE),JOEY,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" You're right, I'm sorry. (BURSTS INTO SONG AND DANCES OUT OF THE DOOR) 'Once I was a wooden boy, a little wooden boy..'",CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Are you kidding? I'm trained for nothing! I was laughed out of twelve interviews today.,RACHEL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 And yet you're surprisingly upbeat.,CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" You would be too if you found John and David boots on sale, fifty percent off!",RACHEL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Oh, how well you know me...",CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" C'mon, cut. Cut, cut, cut,...",ROSS,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Cut, cut, cut, cut, cut, cut, cut... (SHE CUTS THEM ALL UP. THEY CHEER)",ALL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 (WALKS UP WITH A POT OF COFFEE) Would anybody like more coffee?,RACHEL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Did you make it, or are you just serving it?",CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 I'm just serving it.,RACHEL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Yeah. Yeah, I'll have a cup of coffee.",ALL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Yeah. Yeah, I'll have a cup of coffee.",ALL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Kids, new dream... I'm in Las Vegas. I'm Liza Minelli-",CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Absolutely.,MONICA,Episode-02-The One With the Sonogram at the End,Season-01,Friends
" Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out.",CHANDLER,Episode-02-The One With the Sonogram at the End,Season-01,Friends
" Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket.",ROSS,Episode-02-The One With the Sonogram at the End,Season-01,Friends
" The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake.",CHANDLER,Episode-02-The One With the Sonogram at the End,Season-01,Friends
"(CUT TO MONICA AND RACHEL'S APARTMENT, WHERE CHANDLER, JOEY, PHOEBE AND MONICA ARE WATCHING 'THREE'S COMPANY')",,Episode-02-The One With the Sonogram at the End,Season-01,Friends
" Oh, I think this is the episode of Three's Company where there's some kind of misunderstanding.",CHANDLER,Episode-02-The One With the Sonogram at the End,Season-01,Friends
 Whose little ball of paper is this?!,MONICA,Episode-02-The One With the Sonogram at the End,Season-01,Friends
" Oh, uh, that would be mine. See, I wrote a note to myself, and then I realised I didn't need it, so I balled it up and... (OFF MONICA'S LOOK) ...now I wish I was dead.",CHANDLER,Episode-02-The One With the Sonogram at the End,Season-01,Friends
" Look , I'm sorry, guys, I just don't wanna give them any more ammunition than they already have.",MONICA,Episode-02-The One With the Sonogram at the End,Season-01,Friends
" Yes, and we all know how cruel a parent can be about the flatness of a child's pillow.",CHANDLER,Episode-02-The One With the Sonogram at the End,Season-01,Friends
" That's because as far as my parents are concerned, Ross can do no wrong. Y'see, he's the Prince. Apparently they had some big ceremony before I was born. ",MONICA,Episode-02-The One With the Sonogram at the End,Season-01,Friends
" (AT WINDOW) Ew, ew, ew, ew ew ew ew ew!",CHANDLER,Episode-02-The One With the Sonogram at the End,Season-01,Friends
 What? ,MONICA,Episode-02-The One With the Sonogram at the End,Season-01,Friends
 Ugly Naked Guy got a Thighmaster!,CHANDLER,Episode-02-The One With the Sonogram at the End,Season-01,Friends
 Ugly Naked Guy got a Thighmaster!,CHANDLER,Episode-02-The One With the Sonogram at the End,Season-01,Friends
 Eeaagh!,ALL,Episode-02-The One With the Sonogram at the End,Season-01,Friends
 Doy! Probably right before she lost it!,PHOEBE,Episode-02-The One With the Sonogram at the End,Season-01,Friends
 You don't get a lot of 'doy' these days...,CHANDLER,Episode-02-The One With the Sonogram at the End,Season-01,Friends
" I know I had it this morning, and I know I had it when I was in the kitchen with...",RACHEL,Episode-02-The One With the Sonogram at the End,Season-01,Friends
 ...Dinah?,CHANDLER,Episode-02-The One With the Sonogram at the End,Season-01,Friends
" Oh, but look how straight those noodles are!",RACHEL,Episode-02-The One With the Sonogram at the End,Season-01,Friends
" Now, Monica, you know that's not how you look for an engagement ring in a lasagne...",CHANDLER,Episode-02-The One With the Sonogram at the End,Season-01,Friends
 (PUTS DOWN THE lASAGNE) I just... can't do it.,MONICA,Episode-02-The One With the Sonogram at the End,Season-01,Friends
 Boys? We're going in.,CHANDLER,Episode-02-The One With the Sonogram at the End,Season-01,Friends
" Yeah. Do that for another two hours, you might be where I am right about now. (HE COMES IN)",ROSS,Episode-02-The One With the Sonogram at the End,Season-01,Friends
" Kinda puts that whole pillow thing in perspective, huh, Mon?",CHANDLER,Episode-02-The One With the Sonogram at the End,Season-01,Friends
 What does she mean by 'involved'?,MONICA,Episode-02-The One With the Sonogram at the End,Season-01,Friends
" I mean presumably, the biggest part of your job is done.",CHANDLER,Episode-02-The One With the Sonogram at the End,Season-01,Friends
" Yeah. We don't speak. She's like this high-powered, driven career type.",PHOEBE,Episode-02-The One With the Sonogram at the End,Season-01,Friends
 What does she do?,CHANDLER,Episode-02-The One With the Sonogram at the End,Season-01,Friends
" Chandler, you're an only child, right? You don't have any of this.",MONICA,Episode-02-The One With the Sonogram at the End,Season-01,Friends
" Well, no, although I did have an imaginary friend, who... my parents actually preferred.",CHANDLER,Episode-02-The One With the Sonogram at the End,Season-01,Friends
 (ENTERING) Knock knock!How are we today? Any nausea?,DR. OBERMAN,Episode-02-The One With the Sonogram at the End,Season-01,Friends
 Yeah. Yeah. A little.,ALL,Episode-02-The One With the Sonogram at the End,Season-01,Friends
 What are we supposed to be seeing here?,JOEY,Episode-02-The One With the Sonogram at the End,Season-01,Friends
" I dunno, but.. I think it's about to attack the Enterprise.",CHANDLER,Episode-02-The One With the Sonogram at the End,Season-01,Friends
 (ENTERING) Hi guys!,PHOEBE,Episode-03-The One With the Thumb,Season-01,Friends
" Hey, Pheebs! Hi!",ALL,Episode-03-The One With the Thumb,Season-01,Friends
" Um, not so good. He walked me to the subway and said 'We should do this again!'",PHOEBE,Episode-03-The One With the Thumb,Season-01,Friends
 Ohh. Ouch.,ALL,Episode-03-The One With the Thumb,Season-01,Friends
" Since always. It's like dating language. Y'know, like 'It's not you' means 'It is you'.",JOEY,Episode-03-The One With the Thumb,Season-01,Friends
 Or 'You're such a nice guy' means 'I'm gonna be dating leather-wearing alcoholics and complaining about them to you'. ,CHANDLER,Episode-03-The One With the Thumb,Season-01,Friends
 Yeah. Cushions the blow.,JOEY,Episode-03-The One With the Thumb,Season-01,Friends
" Yeah, it's like when you're a kid, and your parents put your dog to sleep, and they tell you it went off to live on some farm.",CHANDLER,Episode-03-The One With the Thumb,Season-01,Friends
 CHANDLER AND JOEY'S APARTMENT. (JOEY IS REHEARSING A PART; CHANDLER READS THE OTHER PART FROM A SCRIPT),SCENE 1,Episode-03-The One With the Thumb,Season-01,Friends
" ""So how does it feel knowing you're about to die?""",CHANDLER,Episode-03-The One With the Thumb,Season-01,Friends
" ""Warden, in five minutes my pain will be over. But you'll have to live with the knowledge that you sent an honest man to die.""",JOEY,Episode-03-The One With the Thumb,Season-01,Friends
" Hey, that was really good! ",CHANDLER,Episode-03-The One With the Thumb,Season-01,Friends
 Thanks! Let's keep going.,JOEY,Episode-03-The One With the Thumb,Season-01,Friends
" Okay. ""So. Whaddya want from me, Damone, huh?""",CHANDLER,Episode-03-The One With the Thumb,Season-01,Friends
" ""I just wanna go back to my cell. 'Cause in my cell, I can smoke.""",JOEY,Episode-03-The One With the Thumb,Season-01,Friends
" ""Smoke away.""",CHANDLER,Episode-03-The One With the Thumb,Season-01,Friends
"(JOEY TAKES OUT A PACKET OF CIGARETTES AND A LIGHTER. HE FUMBLES AND DROPS THE LIGHTER. THEN HE LIGHTS A CIGARETTE, TAKES A DRAG AND COUGHS)",,Episode-03-The One With the Thumb,Season-01,Friends
 I think this is probably why Damone smokes in his cell alone.,CHANDLER,Episode-03-The One With the Thumb,Season-01,Friends
 What?,JOEY,Episode-03-The One With the Thumb,Season-01,Friends
 Relax your hand!,CHANDLER,Episode-03-The One With the Thumb,Season-01,Friends
(JOEY LETS HIS WRIST GO LIMP),,Episode-03-The One With the Thumb,Season-01,Friends
 Not so much!,CHANDLER,Episode-03-The One With the Thumb,Season-01,Friends
 Whoah!,JOEY,Episode-03-The One With the Thumb,Season-01,Friends
 Hey!,CHANDLER,Episode-03-The One With the Thumb,Season-01,Friends
 Hey!,JOEY,Episode-03-The One With the Thumb,Season-01,Friends
" Alright, now try taking a puff.",CHANDLER,Episode-03-The One With the Thumb,Season-01,Friends
(JOEY TRIES AND VISIBLY WINCES),,Episode-03-The One With the Thumb,Season-01,Friends
 Alright.. okay. No. Give it to me.,CHANDLER,Episode-03-The One With the Thumb,Season-01,Friends
" No no no, I am not giving you a cigarette.",JOEY,Episode-03-The One With the Thumb,Season-01,Friends
" It's fine, it's fine. Look, do you wanna get this part, or not? Here.",CHANDLER,Episode-03-The One With the Thumb,Season-01,Friends
(JOEY RELUCTANTLY GIVES HIM THE CIGARETTE),,Episode-03-The One With the Thumb,Season-01,Friends
" Don't think of it as a cigarette. Think of it as the thing that's been missing from your hand. When you're holding it, you feel right. You feel complete.",CHANDLER,Episode-03-The One With the Thumb,Season-01,Friends
 Y'miss it?,JOEY,Episode-03-The One With the Thumb,Season-01,Friends
" Nah, not so much. Alright, now we smoke. (TAKES A PUFF) Oh.. my.. God. (CONTINUES TO SMOKE)",CHANDLER,Episode-03-The One With the Thumb,Season-01,Friends
" (BRINGING DRINKS) Alright, don't tell me, don't tell me! (HANDING THEM OUT) Decaf cappucino for Joey.. Coffee black.. Late.. And an iced tea. I'm getting pretty good at this!",RACHEL,Episode-03-The One With the Thumb,Season-01,Friends
" Yeah. Yeah, excellent.",ALL,Episode-03-The One With the Thumb,Season-01,Friends
 - and there's five hundred extra dollars in my account.,PHOEBE,Episode-03-The One With the Thumb,Season-01,Friends
" Oh, Satan's minions at work again...",CHANDLER,Episode-03-The One With the Thumb,Season-01,Friends
(CHANDLER TRIES TO SHRUG NONCHALANTLY BUT EVENTUALLY HE HAS TO EXHALE A MOUTHFUL OF SMOKE),,Episode-03-The One With the Thumb,Season-01,Friends
" Oh! Oh, God!",ALL,Episode-03-The One With the Thumb,Season-01,Friends
 What is this?!,ROSS,Episode-03-The One With the Thumb,Season-01,Friends
" I'm smoking. I'm smoking, I'm smoking.",CHANDLER,Episode-03-The One With the Thumb,Season-01,Friends
" Oh, I can't believe you! You've been so good, for three years!",PHOEBE,Episode-03-The One With the Thumb,Season-01,Friends
 And this- is my reward!,CHANDLER,Episode-03-The One With the Thumb,Season-01,Friends
" Hold on a second, alright? Just think about what you went through the last time you quit.",ROSS,Episode-03-The One With the Thumb,Season-01,Friends
" Okay, so this time I won't quit!",CHANDLER,Episode-03-The One With the Thumb,Season-01,Friends
" Okay, so this time I won't quit!",CHANDLER,Episode-03-The One With the Thumb,Season-01,Friends
 Ohhh! Put it out!,ALL,Episode-03-The One With the Thumb,Season-01,Friends
 Ohhh! Put it out!,ALL,Episode-03-The One With the Thumb,Season-01,Friends
" All right! I'm putting it out, I'm putting it out. (HE DROPS IT IN PHOEBE'S COFFEE)",CHANDLER,Episode-03-The One With the Thumb,Season-01,Friends
" Let's see, today's Monday... Never.",MONICA,Episode-03-The One With the Thumb,Season-01,Friends
" Oh, come on! Come on!",ALL,Episode-03-The One With the Thumb,Season-01,Friends
 No. Not after what happened with Steve.,MONICA,Episode-03-The One With the Thumb,Season-01,Friends
 What are you talking about? We love Schhteve! Schhteve was schhexy!.. Sorry.,CHANDLER,Episode-03-The One With the Thumb,Season-01,Friends
 Do you all promise?,MONICA,Episode-03-The One With the Thumb,Season-01,Friends
 Yeah! We promise! We'll be good!,ALL,Episode-03-The One With the Thumb,Season-01,Friends
 Hi.,ALAN,Episode-03-The One With the Thumb,Season-01,Friends
" Hi, Alan.",ALL,Episode-03-The One With the Thumb,Season-01,Friends
" ...I'll go. Let's start with the way he kept picking at- no, I'm sorry, I can't do this, can't do this. We loved him.",ROSS,Episode-03-The One With the Thumb,Season-01,Friends
 Loved him! Yeah! He's great!,ALL,Episode-03-The One With the Thumb,Season-01,Friends
 Wait a minute! We're talking about someone that I'm going out with?,MONICA,Episode-03-The One With the Thumb,Season-01,Friends
 Yeah! ,ALL,Episode-03-The One With the Thumb,Season-01,Friends
 Really!,MONICA,Episode-03-The One With the Thumb,Season-01,Friends
" Oh, yeah. I'd marry him just for his David Hasselhof impression alone. You know I'm gonna be doing that at parties, right? (DOES IT)",CHANDLER,Episode-03-The One With the Thumb,Season-01,Friends
" You know what I like most about him, though?",ROSS,Episode-03-The One With the Thumb,Season-01,Friends
 What?,ALL,Episode-03-The One With the Thumb,Season-01,Friends
 The way he makes me feel about myself.,ROSS,Episode-03-The One With the Thumb,Season-01,Friends
 Yeah...,ALL,Episode-03-The One With the Thumb,Season-01,Friends
 Well..,ROSS,Episode-03-The One With the Thumb,Season-01,Friends
 WE WON!! Thank you! Yes!,ALL,Episode-03-The One With the Thumb,Season-01,Friends
" I mean, it-it was like, it was like he made us into a team.",RACHEL,Episode-03-The One With the Thumb,Season-01,Friends
" Yep, we sure showed those Hassidic jewellers a thing or two about softball..",CHANDLER,Episode-03-The One With the Thumb,Season-01,Friends
" Yeah, it's his, uh, innate Alan-ness that-that-that we adore.",ROSS,Episode-03-The One With the Thumb,Season-01,Friends
 I personally could have a gallon of Alan.,CHANDLER,Episode-03-The One With the Thumb,Season-01,Friends
(PHOEBE NODS),,Episode-03-The One With the Thumb,Season-01,Friends
 Eww!,ALL,Episode-03-The One With the Thumb,Season-01,Friends
" I know! I know, I opened it up and there it was, just floating in there, like this tiny little hitch-hiker!",PHOEBE,Episode-03-The One With the Thumb,Season-01,Friends
" Well, maybe it's a contest, y'know? Like, collect all five?",CHANDLER,Episode-03-The One With the Thumb,Season-01,Friends
" Does, um, anyone wanna see?",PHOEBE,Episode-03-The One With the Thumb,Season-01,Friends
 Nooo! ,ALL,Episode-03-The One With the Thumb,Season-01,Friends
(CHANDLER LIGHTS A CIGARETTE) ,,Episode-03-The One With the Thumb,Season-01,Friends
" Oh, hey, don't do that! Cut it out!",ALL,Episode-03-The One With the Thumb,Season-01,Friends
 It's worse than the thumb!,RACHEL,Episode-03-The One With the Thumb,Season-01,Friends
" Hey, this is so unfair!",CHANDLER,Episode-03-The One With the Thumb,Season-01,Friends
" Oh, why is it unfair?",MONICA,Episode-03-The One With the Thumb,Season-01,Friends
" So I have a flaw! Big deal! Like Joey's constant knuckle-cracking isn't annoying? And Ross, with his over-pronouncing every single word? And Monica, with that snort when she laughs? I mean, what the hell is that thing? ...I accept all those flaws, why can't you accept me for this?",CHANDLER,Episode-03-The One With the Thumb,Season-01,Friends
 Don't you realise what you're-you're doing to yourself?,ROSS,Episode-03-The One With the Thumb,Season-01,Friends
" Hey, y'know, I have had it with you guys and your cancer and your emphysema and your heart disease. The bottom line is, smoking is cool, and you know it.",CHANDLER,Episode-03-The One With the Thumb,Season-01,Friends
" (WITH PHONE) Chandler? It's Alan, he wants to speak to you.",RACHEL,Episode-03-The One With the Thumb,Season-01,Friends
" Really? He does? (TAKES PHONE) Hey, buddy, what's up! Oh, she told you about that, huh. Well, yeah, I have one now and then. Well, yeah, now. Well, it's not that big- ..well, that's true,.. Gee, y'know, no-one- no-one's ever put it like that before. Well, okay, thanks! (HANDS BACK THE PHONE AND STUBS OUT HIS CIGARETTE) ",CHANDLER,Episode-03-The One With the Thumb,Season-01,Friends
(CUT TO THE GANG MINUS MONICA AND JOEY WATCHING LAMBCHOP AT RACHEL+ MONICA'S),,Episode-03-The One With the Thumb,Season-01,Friends
" Ooh, Lambchop. How old is that sock? If I had a sock on my hand for thirty years it'd be talking too.",CHANDLER,Episode-03-The One With the Thumb,Season-01,Friends
 Hey. Where's Joey?,MONICA,Episode-03-The One With the Thumb,Season-01,Friends
" Joey ate my last stick of gum, so I killed him. Do you think that was wrong?",CHANDLER,Episode-03-The One With the Thumb,Season-01,Friends
 (FINISHES CHANGING CHANDLER'S NICOTINE PATCH) There y'go.,ROSS,Episode-03-The One With the Thumb,Season-01,Friends
" (DEADPAN) Ooh, I'm alive with pleasure now.",CHANDLER,Episode-03-The One With the Thumb,Season-01,Friends
" Sorry. ..Y'know, those stupid soda people gave me seven thousand dollars for the thumb.",PHOEBE,Episode-03-The One With the Thumb,Season-01,Friends
 You're kidding. Oh my God.,ALL,Episode-03-The One With the Thumb,Season-01,Friends
 (TURNS OFF TV) Okay..,MONICA,Episode-03-The One With the Thumb,Season-01,Friends
 Oh! That was Lambchop!,ALL,Episode-03-The One With the Thumb,Season-01,Friends
 I'm sorry..,MONICA,Episode-03-The One With the Thumb,Season-01,Friends
" (SARCASTIC) Oh, she's sorry! I feel better!",CHANDLER,Episode-03-The One With the Thumb,Season-01,Friends
 I'll meet somone else. There'll be other Alans.,MONICA,Episode-03-The One With the Thumb,Season-01,Friends
" Oh, yeah! Right!",ALL,Episode-03-The One With the Thumb,Season-01,Friends
 Hi.,MONICA,Episode-03-The One With the Thumb,Season-01,Friends
 Mmm. ,ALL,Episode-03-The One With the Thumb,Season-01,Friends
" You had a rough day, huh.. c'mere. (SHE SITS DOWN AND ROSS STROKES HER FOREHEAD)",ROSS,Episode-03-The One With the Thumb,Season-01,Friends
 ...That's it. I'm getting cigarettes.,CHANDLER,Episode-03-The One With the Thumb,Season-01,Friends
 ...That's it. I'm getting cigarettes.,CHANDLER,Episode-03-The One With the Thumb,Season-01,Friends
 No no no!,ALL,Episode-03-The One With the Thumb,Season-01,Friends
 No no no!,ALL,Episode-03-The One With the Thumb,Season-01,Friends
" (LEAVING) I don't care, I don't care! Game's over! I'm weak! I've gotta smoke! I've gotta have the smoke!",CHANDLER,Episode-03-The One With the Thumb,Season-01,Friends
 (SHOUTS AS HE LEAVES) If you never smoke again I'll give you seven thousand dollars!,PHOEBE,Episode-03-The One With the Thumb,Season-01,Friends
" (REENTERING) Yeah, alright.",CHANDLER,Episode-03-The One With the Thumb,Season-01,Friends
" Yeah, see.. you took mine. Chandler, what about you?",ROSS,Episode-04-The One With George Stephanopoulos,Season-01,Friends
" Uh, if I were omnipotent for a day, I'd.. make myself omnipotent forever.",CHANDLER,Episode-04-The One With George Stephanopoulos,Season-01,Friends
(ENTER JOEY),,Episode-04-The One With George Stephanopoulos,Season-01,Friends
" Hey Joey. Hi. Hey, buddy.",ALL,Episode-04-The One With George Stephanopoulos,Season-01,Friends
" ...Ninety-five, ninety-six, ninety-seven. See, I told you! Less than a hundred steps from our place to here.",JOEY,Episode-04-The One With George Stephanopoulos,Season-01,Friends
 You got waaaay too much free time.,CHANDLER,Episode-04-The One With George Stephanopoulos,Season-01,Friends
" (TO ROSS) Hey! Here's the birthday boy! Ross, check it out: hockey tickets, Rangers-Penguins, tonight at the Garden, and we're taking you.",JOEY,Episode-04-The One With George Stephanopoulos,Season-01,Friends
" Happy birthday, pal!",CHANDLER,Episode-04-The One With George Stephanopoulos,Season-01,Friends
" So, I'm guessing you had an extra ticket and couldn't decide which one of you got to bring a date?",ROSS,Episode-04-The One With George Stephanopoulos,Season-01,Friends
" Well, aren't we Mr. ""The glass is half empty"".",CHANDLER,Episode-04-The One With George Stephanopoulos,Season-01,Friends
 What's wrong with the twentieth?,JOEY,Episode-04-The One With George Stephanopoulos,Season-01,Friends
 Eleven days before Hallowe'en.. all the good costumes are gone?,CHANDLER,Episode-04-The One With George Stephanopoulos,Season-01,Friends
" The hell with hockey, let's all do that!",JOEY,Episode-04-The One With George Stephanopoulos,Season-01,Friends
" (TRYING TO STOP ROSS LEAVING) C'mon, Ross! You, me, Joey, ice, guys' night out, c'mon, whaddya say, big guy, (PRETENDING TO PUNCH HIM IN THE STOMACH) huh? huh? huh?",CHANDLER,Episode-04-The One With George Stephanopoulos,Season-01,Friends
 What are you doing?,ROSS,Episode-04-The One With George Stephanopoulos,Season-01,Friends
 (STOPS) I have no idea.,CHANDLER,Episode-04-The One With George Stephanopoulos,Season-01,Friends
